seasonIDs,roundNums,seriesLetters,seriesLinks,bottomSeedIDs,bottomSeedWins,topSeedIDs,topSeedWins
19671968,3,M,/schedule/playoff-series/1968/series-m/canadiens-vs-blues,8,4,19,0
19681969,1,A,/schedule/playoff-series/1969/series-a/rangers-vs-canadiens,3,0,8,4
19681969,1,B,/schedule/playoff-series/1969/series-b/mapleleafs-vs-bruins,10,0,6,4
19681969,1,C,/schedule/playoff-series/1969/series-c/flyers-vs-blues,4,0,19,4
19681969,1,D,/schedule/playoff-series/1969/series-d/kings-vs-seals,26,4,46,3
19681969,2,I,/schedule/playoff-series/1969/series-i/bruins-vs-canadiens,6,2,8,4
19681969,2,J,/schedule/playoff-series/1969/series-j/kings-vs-blues,26,0,19,4
19681969,3,M,/schedule/playoff-series/1969/series-m/blues-vs-canadiens,19,0,8,4
19691970,1,A,/schedule/playoff-series/1970/series-a/redwings-vs-blackhawks,17,0,16,4
19691970,1,B,/schedule/playoff-series/1970/series-b/rangers-vs-bruins,3,2,6,4
19691970,1,C,/schedule/playoff-series/1970/series-c/northstars-vs-blues,31,2,19,4
19691970,1,D,/schedule/playoff-series/1970/series-d/seals-vs-penguins,46,0,5,4
19691970,2,I,/schedule/playoff-series/1970/series-i/bruins-vs-blackhawks,6,4,16,0
19691970,2,J,/schedule/playoff-series/1970/series-j/penguins-vs-blues,5,2,19,4
19691970,3,M,/schedule/playoff-series/1970/series-m/bruins-vs-blues,6,4,19,0
19701971,1,A,/schedule/playoff-series/1971/series-a/canadiens-vs-bruins,8,4,6,3
19701971,1,B,/schedule/playoff-series/1971/series-b/mapleleafs-vs-rangers,10,2,3,4
19701971,1,C,/schedule/playoff-series/1971/series-c/flyers-vs-blackhawks,4,0,16,4
19701971,1,D,/schedule/playoff-series/1971/series-d/northstars-vs-blues,31,4,19,2
19701971,2,I,/schedule/playoff-series/1971/series-i/northstars-vs-canadiens,31,2,8,4
19701971,2,J,/schedule/playoff-series/1971/series-j/rangers-vs-blackhawks,3,3,16,4
19701971,3,M,/schedule/playoff-series/1971/series-m/canadiens-vs-blackhawks,8,4,16,3
19711972,1,A,/schedule/playoff-series/1972/series-a/mapleleafs-vs-bruins,10,1,6,4
19711972,1,B,/schedule/playoff-series/1972/series-b/canadiens-vs-rangers,8,2,3,4
19711972,1,C,/schedule/playoff-series/1972/series-c/penguins-vs-blackhawks,5,0,16,4
19711972,1,D,/schedule/playoff-series/1972/series-d/blues-vs-northstars,19,4,31,3
19711972,2,I,/schedule/playoff-series/1972/series-i/blues-vs-bruins,19,0,6,4
19711972,2,J,/schedule/playoff-series/1972/series-j/rangers-vs-blackhawks,3,4,16,0
19711972,3,M,/schedule/playoff-series/1972/series-m/rangers-vs-bruins,3,2,6,4
19721973,1,A,/schedule/playoff-series/1973/series-a/sabres-vs-canadiens,7,2,8,4
19721973,1,B,/schedule/playoff-series/1973/series-b/rangers-vs-bruins,3,4,6,1
19721973,1,C,/schedule/playoff-series/1973/series-c/blues-vs-blackhawks,19,1,16,4
19721973,1,D,/schedule/playoff-series/1973/series-d/northstars-vs-flyers,31,2,4,4
