gameID,playerId,sweaterNumber,position,pim,toi,evenStrengthShotsAgainst,powerPlayShotsAgainst,shorthandedShotsAgainst,saveShotsAgainst,savePctg,evenStrengthGoalsAgainst,powerPlayGoalsAgainst,shorthandedGoalsAgainst,goalsAgainst,starter,shotsAgainst,saves
2003020551,8456137,30,G,,,,,,,,,,,,False,,
2003020551,8462255,40,G,0.0,60:27,18/19,10/11,0/0,28/30,0.933333,1.0,1.0,0.0,2.0,True,30.0,28.0
2003020551,8458584,1,G,,,,,,,,,,,,False,,
2003020551,8469658,35,G,2.0,60:39,14/17,5/5,3/3,22/25,0.88,3.0,0.0,0.0,3.0,True,25.0,22.0
2003020552,8458075,30,G,0.0,60:00,15/16,6/6,0/0,21/22,0.954545,1.0,0.0,0.0,1.0,True,22.0,21.0
2003020552,8459523,35,G,,,,,,,,,,,,False,,
2003020552,8462102,30,G,0.0,20:00,3/4,0/0,0/0,3/4,0.75,1.0,0.0,0.0,1.0,False,4.0,3.0
2003020552,8467959,31,G,0.0,40:00,12/15,3/4,2/3,17/22,0.772727,3.0,1.0,1.0,5.0,True,22.0,17.0
2003020553,8466141,1,G,2.0,65:00,40/40,0/2,0/0,40/42,0.952381,0.0,2.0,0.0,2.0,True,42.0,40.0
2003020553,8458615,31,G,,,,,,,,,,,,False,,
2003020553,8459140,35,G,0.0,65:00,30/31,0/1,0/0,30/32,0.9375,1.0,1.0,0.0,2.0,True,32.0,30.0
2003020553,8460715,47,G,,,,,,,,,,,,False,,
2003020554,8467895,33,G,0.0,60:00,26/31,8/10,1/1,35/42,0.833333,5.0,2.0,0.0,7.0,True,42.0,35.0
2003020554,8448535,37,G,,,,,,,,,,,,False,,
2003020554,8468011,30,G,,,,,,,,,,,,False,,
2003020554,8462047,43,G,0.0,59:48,20/21,5/5,0/0,25/26,0.961538,1.0,0.0,0.0,1.0,True,26.0,25.0
2003020555,8469636,31,G,0.0,62:24,35/40,2/3,1/1,38/44,0.863636,5.0,1.0,0.0,6.0,True,44.0,38.0
2003020555,8455994,34,G,,,,,,,,,,,,False,,
2003020555,8448382,31,G,0.0,62:24,18/23,2/2,2/2,22/27,0.814815,5.0,0.0,0.0,5.0,True,27.0,22.0
2003020555,8459308,34,G,,,,,,,,,,,,False,,
2003020556,8460705,20,G,0.0,59:59,18/18,6/6,2/2,26/26,1.0,0.0,0.0,0.0,0.0,True,26.0,26.0
2003020556,8462117,35,G,,,,,,,,,,,,False,,
2003020556,8462055,30,G,0.0,58:46,24/25,2/2,2/2,28/29,0.965517,1.0,0.0,0.0,1.0,True,29.0,28.0
2003020556,8469461,31,G,,,,,,,,,,,,False,,
2003020557,8469675,29,G,0.0,60:00,15/16,2/2,0/0,17/18,0.944444,1.0,0.0,0.0,1.0,True,18.0,17.0
2003020557,8462044,35,G,,,,,,,,,,,,False,,
2003020557,8460497,1,G,,,,,,,,,,,,False,,
2003020557,8459463,80,G,0.0,57:50,23/24,5/6,0/1,28/31,0.903226,1.0,1.0,1.0,3.0,True,31.0,28.0
2003020558,8466290,1,G,0.0,59:26,26/26,3/3,1/2,30/31,0.967742,0.0,0.0,1.0,1.0,True,31.0,30.0
2003020558,8467364,30,G,,,,,,,,,,,,False,,
2003020558,8458562,29,G,0.0,58:47,26/28,1/1,0/0,27/29,0.931034,2.0,0.0,0.0,2.0,True,29.0,27.0
2003020558,8467430,50,G,,,,,,,,,,,,False,,
2003020559,8467913,35,G,,,,,,,,,,,,False,,
2003020559,8460516,39,G,0.0,64:33,27/29,2/3,0/0,29/32,0.90625,2.0,1.0,0.0,3.0,True,32.0,29.0
2003020559,8459132,29,G,,,,,,,,,,,,False,,
2003020559,8468038,49,G,0.0,64:33,20/22,4/6,1/1,25/29,0.862069,2.0,2.0,0.0,4.0,True,29.0,25.0
2003020560,8464999,30,G,,,,,,,,,,,,False,,
2003020560,8460535,60,G,0.0,65:00,18/18,0/1,1/1,19/20,0.95,0.0,1.0,0.0,1.0,True,20.0,19.0
2003020560,8451837,31,G,,,,,,,,,,,,False,,
2003020560,8460612,35,G,0.0,64:40,18/19,2/2,0/0,20/21,0.952381,1.0,0.0,0.0,1.0,True,21.0,20.0
2003020561,8458584,1,G,0.0,59:54,11/14,19/20,1/1,31/35,0.885714,3.0,1.0,0.0,4.0,True,35.0,31.0
2003020561,8469658,35,G,,,,,,,,,,,,False,,
2003020561,8445769,1,G,,,,,,,,,,,,False,,
2003020561,8462052,33,G,0.0,59:55,15/15,4/4,2/2,21/21,1.0,0.0,0.0,0.0,0.0,True,21.0,21.0
2003020562,8462102,30,G,,,,,,,,,,,,False,,
2003020562,8467959,31,G,0.0,58:53,19/19,7/10,1/1,27/30,0.9,0.0,3.0,0.0,3.0,True,30.0,27.0
2003020562,8460712,29,G,0.0,60:00,22/23,7/8,0/0,29/31,0.935484,1.0,1.0,0.0,2.0,True,31.0,29.0
2003020562,8462152,30,G,,,,,,,,,,,,False,,
2003020563,8455710,30,G,0.0,65:00,23/24,2/3,0/0,25/27,0.925926,1.0,1.0,0.0,2.0,True,27.0,25.0
2003020563,8467900,31,G,,,,,,,,,,,,False,,
2003020563,8467895,33,G,,,,,,,,,,,,False,,
2003020563,8448535,37,G,0.0,65:00,20/20,14/16,0/0,34/36,0.944444,0.0,2.0,0.0,2.0,True,36.0,34.0
2003020564,8445386,20,G,2.0,60:00,32/35,5/5,1/1,38/41,0.926829,3.0,0.0,0.0,3.0,True,41.0,38.0
