teamID,playerID,headshotURLs,firstName,lastName,positionCode,latestGamesPlayed,latestGoals,latestAssists,latestPoints,latestPlusMinus,latestShots,latestShootingPct,latestAvgTOI,latestAvgShifts,latestFOWinPct,latestGS,latestWins,latestLosses,latestTies,latestOTLosses,latestGAA,latestSavePct,latestSA,latestSaves,latestGA,latestSO,latestTOI
7,8481564,https://assets.nhle.com/mugs/nhl/20242025/BUF/8481564.png,Ryan,Johnson,D,,,,,,,,,,,,,,,,,,,,,,
7,8482097,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482097.png,Jack,Quinn,R,,,,,,,,,,,,,,,,,,,,,,
7,8482175,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482175.png,JJ,Peterka,R,,,,,,,,,,,,,,,,,,,,,,
7,8482623,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482623.png,Josh,Dunne,C,,,,,,,,,,,,,,,,,,,,,,
7,8482671,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482671.png,Owen,Power,D,,,,,,,,,,,,,,,,,,,,,,
7,8482765,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482765.png,Isak,Rosen,R,,,,,,,,,,,,,,,,,,,,,,
7,8482896,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482896.png,Tyson,Kozak,C,,,,,,,,,,,,,,,,,,,,,,
7,8483468,https://assets.nhle.com/mugs/nhl/20242025/BUF/8483468.png,Jiri,Kulich,C,,,,,,,,,,,,,,,,,,,,,,
7,8483500,https://assets.nhle.com/mugs/nhl/20242025/BUF/8483500.png,Noah,Ostlund,C,,,,,,,,,,,,,,,,,,,,,,
7,8484145,https://assets.nhle.com/mugs/nhl/20242025/BUF/8484145.png,Zach,Benson,L,,,,,,,,,,,,,,,,,,,,,,
7,8473503,https://assets.nhle.com/mugs/nhl/20242025/BUF/8473503.png,James,Reimer,G,,,,,,,,,,,,,,,,,,,,,,
7,8480045,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480045.png,Ukko-Pekka,Luukkonen,G,,,,,,,,,,,,,,,,,,,,,,
7,8482221,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482221.png,Devon,Levi,G,,,,,,,,,,,,,,,,,,,,,,
