Date,Team,Player,Transaction Details
"Feb 2, 2025",Detroit Red Wings,Patrick Kane,Activated from IR
"Feb 2, 2025",Detroit Red Wings,J.T. Compher,Placed on IR
"Feb 2, 2025",San Jose Sharks,Yaroslav Askarov,Assigned to AHL
"Feb 2, 2025",San Jose Sharks,Vitek Vanecek,Recalled from AHL
"Feb 2, 2025",Vancouver Canucks,Victor Mancini,Recalled from AHL
"Feb 2, 2025",Vancouver Canucks,Phillip Di Giuseppe,Cleared Waivers
"Feb 1, 2025",Winnipeg Jets,Parker Ford,Assigned to AHL
"Feb 1, 2025",Winnipeg Jets,Brad Lambert,Assigned to AHL
"Feb 1, 2025",Toronto Maple Leafs,Nikita Grebenkin,Assigned to AHL
"Feb 1, 2025",Toronto Maple Leafs,John Tavares,Activated from IR
"Feb 1, 2025",Chicago Blackhawks,Connor Murphy,Activated from IR
"Feb 1, 2025",Toronto Maple Leafs,Matthew Knies,Activated from IR
"Feb 1, 2025",Carolina Hurricanes,Ryan Suzuki,Recalled from AHL
"Feb 1, 2025",Seattle Kraken,Gustav Olofsson,Recalled from AHL
"Feb 1, 2025",Philadelphia Flyers,Emil Andrae,Recalled from AHL
"Feb 1, 2025",Philadelphia Flyers,Jacob Gaucher,Recalled from AHL
"Feb 1, 2025",Nashville Predators,Matt Murray,Assigned to AHL
"Feb 1, 2025",Boston Bruins,Vinni Lettieri,Assigned to AHL
"Feb 1, 2025",Dallas Stars,Tyler Seguin,Placed on LTIR
"Feb 1, 2025",Dallas Stars,Nils Lundkvist,Placed on LTIR
"Feb 1, 2025",Dallas Stars,Mason Marchment,Placed on IR
"Feb 1, 2025",Vancouver Canucks,Aatu Raty,Assigned to AHL
"Feb 1, 2025",Vancouver Canucks,Phillip Di Giuseppe,Placed on Waivers
"Feb 1, 2025",Washington Capitals,Hardy Haman Aktell,Cleared Waivers
"Feb 1, 2025",Montreal Canadiens,Logan Mailloux,Recalled from AHL
"Feb 1, 2025",Montreal Canadiens,Owen Beck,Recalled from AHL
"Feb 1, 2025",Dallas Stars,Kyle McDonald,Recalled from AHL
"Feb 1, 2025",Dallas Stars,Christian Kyrou,Recalled from AHL
"Feb 1, 2025",Dallas Stars,Kyle Capobianco,Assigned to AHL
"Feb 1, 2025",Tampa Bay Lightning,Matt Tomkins,Recalled from AHL
"Feb 1, 2025",Tampa Bay Lightning,Gage Goncalves,Recalled from AHL
"Feb 1, 2025",Dallas Stars,Cody Ceci,Acquired from San Jose Sharks
"Feb 1, 2025",Dallas Stars,Mikael Granlund,Acquired from San Jose Sharks
"Feb 1, 2025",San Jose Sharks,Mikael Granlund,Traded to Dallas Stars
"Feb 1, 2025",San Jose Sharks,Cody Ceci,Traded to Dallas Stars
"Feb 1, 2025",Pittsburgh Penguins,Melvin Fernström,Acquired from Vancouver Canucks
"Feb 1, 2025",Pittsburgh Penguins,Danton Heinen,Acquired from Vancouver Canucks
"Feb 1, 2025",Pittsburgh Penguins,Vincent Desharnais,Acquired from Vancouver Canucks
"Feb 1, 2025",Pittsburgh Penguins,Marcus Pettersson,Traded to Vancouver Canucks
"Feb 1, 2025",Pittsburgh Penguins,Drew O'Connor,Traded to Vancouver Canucks
"Feb 1, 2025",Vancouver Canucks,Drew O'Connor,Acquired from Pittsburgh Penguins
"Feb 1, 2025",Vancouver Canucks,Marcus Pettersson,Acquired from Pittsburgh Penguins
"Feb 1, 2025",Vancouver Canucks,Melvin Fernström,Traded to Pittsburgh Penguins
"Feb 1, 2025",Vancouver Canucks,Danton Heinen,Traded to Pittsburgh Penguins
"Feb 1, 2025",Vancouver Canucks,Vincent Desharnais,Traded to Pittsburgh Penguins
"Feb 1, 2025",New York Rangers,Jackson Dorrington,Acquired from Vancouver Canucks
"Feb 1, 2025",New York Rangers,Erik Brannstrom,Acquired from Vancouver Canucks
"Feb 1, 2025",New York Rangers,J.T. Miller,Acquired from Vancouver Canucks
"Feb 1, 2025",New York Rangers,Victor Mancini,Traded to Vancouver Canucks
"Feb 1, 2025",New York Rangers,Filip Chytil,Traded to Vancouver Canucks
"Feb 1, 2025",Vancouver Canucks,Victor Mancini,Acquired from New York Rangers
"Feb 1, 2025",Vancouver Canucks,Filip Chytil,Acquired from New York Rangers
"Feb 1, 2025",Vancouver Canucks,Erik Brannstrom,Traded to New York Rangers
"Feb 1, 2025",Vancouver Canucks,Jackson Dorrington,Traded to New York Rangers
"Feb 1, 2025",Vancouver Canucks,J.T. Miller,Traded to New York Rangers
"Jan 31, 2025",Vegas Golden Knights,Callahan Burke,Assigned to AHL
"Jan 31, 2025",Vegas Golden Knights,Alexander Holtz,Recalled from AHL
"Jan 31, 2025",Tampa Bay Lightning,Declan Carlile,Assigned to AHL
"Jan 31, 2025",Dallas Stars,Miro Heiskanen,Placed on IR
"Jan 31, 2025",Washington Capitals,Hardy Haman Aktell,Placed on Waivers
"Jan 31, 2025",St. Louis Blues,Corey Schueneman,Signed 1 year @ $775K AAV starting in 2025-26
"Jan 31, 2025",Tampa Bay Lightning,Matt Tomkins,Assigned to AHL
"Jan 31, 2025",Tampa Bay Lightning,Gage Goncalves,Assigned to AHL
"Jan 31, 2025",Nashville Predators,Matt Murray,Recalled from AHL
"Jan 31, 2025",Nashville Predators,Kevin Gravel,Assigned to AHL
"Jan 31, 2025",Philadelphia Flyers,Egor Zamula,Placed on IR
"Jan 31, 2025",Philadelphia Flyers,Aleksei Kolosov,Recalled from AHL
"Jan 31, 2025",Philadelphia Flyers,Adam Ginning,Assigned to AHL
"Jan 31, 2025",New York Islanders,Isaiah George,Assigned to AHL
"Jan 31, 2025",Vegas Golden Knights,Brandon Saad,Signed 1 year @ $1.500M AAV starting in 2024-25
"Jan 31, 2025",St. Louis Blues,Matthew Kessel,Recalled from AHL
"Jan 31, 2025",Toronto Maple Leafs,Jacob Quillan,Assigned to AHL
"Jan 31, 2025",St. Louis Blues,Brandon Saad,Cleared Waivers
"Jan 31, 2025",New York Islanders,Adam Boqvist,Claimed on Waivers from Florida Panthers
"Jan 31, 2025",Florida Panthers,Adam Boqvist,Lost on Waivers to New York Islanders
"Jan 31, 2025",Montreal Canadiens,Rafael Harvey-Pinard,Assigned to AHL
"Jan 31, 2025",Carolina Hurricanes,Riley Stillman,Recalled from AHL
"Jan 31, 2025",Carolina Hurricanes,Ryan Suzuki,Assigned to AHL
"Jan 31, 2025",Philadelphia Flyers,Andrei Kuzmenko,Acquired from Calgary Flames
"Jan 31, 2025",Philadelphia Flyers,Jakob Pelletier,Acquired from Calgary Flames
"Jan 31, 2025",Philadelphia Flyers,Joel Farabee,Traded to Calgary Flames
"Jan 31, 2025",Philadelphia Flyers,Morgan Frost,Traded to Calgary Flames
"Jan 31, 2025",Calgary Flames,Joel Farabee,Acquired from Philadelphia Flyers
"Jan 31, 2025",Calgary Flames,Morgan Frost,Acquired from Philadelphia Flyers
"Jan 31, 2025",Calgary Flames,Andrei Kuzmenko,Traded to Philadelphia Flyers
"Jan 31, 2025",Calgary Flames,Jakob Pelletier,Traded to Philadelphia Flyers
"Jan 30, 2025",Boston Bruins,Charlie McAvoy,Activated from IR
"Jan 30, 2025",Philadelphia Flyers,Adam Ginning,Recalled from AHL
"Jan 30, 2025",Vegas Golden Knights,Jonas Rondbjerg,Assigned to AHL
"Jan 30, 2025",Vegas Golden Knights,Callahan Burke,Recalled from AHL
"Jan 30, 2025",Carolina Hurricanes,Ryan Suzuki,Recalled from AHL
"Jan 30, 2025",Carolina Hurricanes,Riley Stillman,Assigned to AHL
"Jan 30, 2025",Boston Bruins,Max Jones,Assigned to AHL
"Jan 30, 2025",Tampa Bay Lightning,Matt Tomkins,Recalled from AHL
"Jan 30, 2025",Dallas Stars,Kyle Capobianco,Recalled from AHL
"Jan 30, 2025",Florida Panthers,Adam Boqvist,Placed on Waivers
"Jan 30, 2025",Seattle Kraken,Philipp Grubauer,Assigned to AHL
"Jan 30, 2025",Seattle Kraken,Philipp Grubauer,Cleared Waivers
"Jan 30, 2025",St. Louis Blues,Brandon Saad,Placed on Waivers
"Jan 30, 2025",Vancouver Canucks,Max Sasson,Assigned to AHL
"Jan 30, 2025",New Jersey Devils,Isaac Poulter,Assigned to AHL
"Jan 29, 2025",Winnipeg Jets,Morgan Barron,Placed on IR
"Jan 29, 2025",Toronto Maple Leafs,Matthew Knies,Placed on IR
"Jan 29, 2025",Vancouver Canucks,Kiefer Sherwood,Placed on IR
"Jan 29, 2025",Ottawa Senators,Cole Reinhardt,Assigned to AHL
"Jan 29, 2025",Seattle Kraken,Ales Stezka,Recalled from AHL
"Jan 29, 2025",Winnipeg Jets,Parker Ford,Recalled from AHL
"Jan 29, 2025",Seattle Kraken,Cale Fleury,Recalled from AHL
"Jan 29, 2025",Utah Hockey Club,Milos Kelemen,Cleared Waivers
"Jan 29, 2025",St. Louis Blues,Marcus Sylvegard,Cleared Waivers
"Jan 29, 2025",Ottawa Senators,Cole Reinhardt,Cleared Waivers
"Jan 29, 2025",Seattle Kraken,Philipp Grubauer,Placed on Waivers
"Jan 29, 2025",St. Louis Blues,Brandon Saad,Cleared Waivers
"Jan 29, 2025",Los Angeles Kings,Drew Doughty,Activated from LTIR
"Jan 29, 2025",Montreal Canadiens,Jayden Struble,Recalled from AHL
"Jan 29, 2025",Los Angeles Kings,Samuel Helenius,Assigned to AHL
"Jan 29, 2025",San Jose Sharks,Scott Sabourin,Assigned to AHL
"Jan 29, 2025",San Jose Sharks,Vitek Vanecek,Assigned to AHL for conditioning stint
"Jan 29, 2025",Minnesota Wild,Ben Jones,Recalled from AHL
"Jan 29, 2025",Colorado Avalanche,Chris Wagner,Assigned to AHL
