Date,Team,Player,Transaction Details
"Jan 26, 2025",Colorado Avalanche,Jere Innala,Assigned to AHL
"Jan 26, 2025",Colorado Avalanche,Miles Wood,Activated from LTIR
"Jan 25, 2025",Vegas Golden Knights,Brendan Brisson,Assigned to AHL
"Jan 25, 2025",New York Islanders,Noah Dobson,Placed on LTIR
"Jan 25, 2025",New York Islanders,Ryan Pulock,Placed on IR
"Jan 25, 2025",Chicago Blackhawks,Landon Slaggert,Recalled from AHL
"Jan 25, 2025",Ottawa Senators,Travis Hamonic,Activated from IR
"Jan 25, 2025",New York Rangers,Will Borgen,Signed 5 years @ $4.100M AAV starting in 2025-26
"Jan 25, 2025",Buffalo Sabres,Tyson Kozak,Assigned to AHL
"Jan 25, 2025",New York Islanders,Tony DeAngelo,Cleared Waivers
"Jan 25, 2025",Pittsburgh Penguins,Owen Pickering,Assigned to AHL
"Jan 25, 2025",Pittsburgh Penguins,Bokondji Imama,Recalled from AHL
"Jan 25, 2025",Tampa Bay Lightning,Ryder Korczak,Acquired from New York Rangers
"Jan 25, 2025",Tampa Bay Lightning,Lucas Edmonds,Traded to New York Rangers
"Jan 25, 2025",New York Rangers,Ryder Korczak,Traded to Tampa Bay Lightning
"Jan 25, 2025",New York Rangers,Lucas Edmonds,Acquired from Tampa Bay Lightning
"Jan 25, 2025",Toronto Maple Leafs,Nikita Grebenkin,Recalled from AHL
"Jan 25, 2025",Toronto Maple Leafs,Connor Dewar,Placed on IR
"Jan 25, 2025",Winnipeg Jets,Brad Lambert,Assigned to AHL
"Jan 25, 2025",Montreal Canadiens,Rafael Harvey-Pinard,Recalled from AHL
"Jan 25, 2025",Ottawa Senators,Donovan Sebrango,Assigned to AHL
"Jan 24, 2025",Vegas Golden Knights,Alexander Holtz,Assigned to AHL
"Jan 24, 2025",San Jose Sharks,Jan Rutta,Placed on IR
"Jan 24, 2025",San Jose Sharks,Nico Sturm,Placed on IR
"Jan 24, 2025",Pittsburgh Penguins,Evgeni Malkin,Placed on IR
"Jan 24, 2025",New York Islanders,Marcus Hogberg,Placed on IR
"Jan 24, 2025",Carolina Hurricanes,Martin Necas,Traded to Colorado Avalanche
"Jan 24, 2025",Carolina Hurricanes,Jack Drury,Traded to Colorado Avalanche
"Jan 24, 2025",Carolina Hurricanes,Nils Juntorp,Acquired from Chicago Blackhawks
"Jan 24, 2025",Chicago Blackhawks,Nils Juntorp,Traded to Carolina Hurricanes
"Jan 24, 2025",Chicago Blackhawks,Taylor Hall,Traded to Carolina Hurricanes
"Jan 24, 2025",Carolina Hurricanes,Mikko Rantanen,Acquired from Colorado Avalanche
"Jan 24, 2025",Carolina Hurricanes,Taylor Hall,Acquired from Chicago Blackhawks
"Jan 24, 2025",Colorado Avalanche,Jack Drury,Acquired from Carolina Hurricanes
"Jan 24, 2025",Colorado Avalanche,Martin Necas,Acquired from Carolina Hurricanes
"Jan 24, 2025",Colorado Avalanche,Mikko Rantanen,Traded to Carolina Hurricanes
"Jan 24, 2025",San Jose Sharks,Colin White,Signed 1 year @ $850K AAV starting in 2024-25
"Jan 24, 2025",Boston Bruins,Michael DiPietro,Assigned to AHL
"Jan 24, 2025",Calgary Flames,Tyson Barrie,Assigned to AHL for conditioning stint
"Jan 24, 2025",Montreal Canadiens,Jayden Struble,Assigned to AHL
"Jan 24, 2025",Winnipeg Jets,Brad Lambert,Recalled from AHL
"Jan 24, 2025",Boston Bruins,Patrick Brown,Assigned to AHL
"Jan 24, 2025",Anaheim Ducks,Nikita Nesterenko,Assigned to AHL
"Jan 24, 2025",San Jose Sharks,Scott Sabourin,Recalled from AHL
"Jan 24, 2025",San Jose Sharks,Collin Graf,Assigned to AHL
"Jan 24, 2025",New Jersey Devils,Isaac Poulter,Recalled from AHL
"Jan 24, 2025",New York Islanders,Tony DeAngelo,Placed on Waivers
"Jan 24, 2025",New York Islanders,Tony DeAngelo,Signed 1 year @ $775K AAV starting in 2024-25
"Jan 23, 2025",Chicago Blackhawks,Anthony (AJ) Spellacy,Signed to an entry level contract.
"Jan 23, 2025",Ottawa Senators,David Perron,Activated from LTIR
"Jan 23, 2025",Ottawa Senators,Linus Ullmark,Placed on LTIR
"Jan 23, 2025",Boston Bruins,Michael DiPietro,Recalled from AHL
"Jan 23, 2025",Vegas Golden Knights,Brendan Brisson,Recalled from AHL
"Jan 23, 2025",Vegas Golden Knights,Tanner Laczynski,Recalled from AHL
"Jan 23, 2025",Chicago Blackhawks,Wyatt Kaiser,Assigned to AHL
"Jan 23, 2025",Winnipeg Jets,Dominic Toninato,Assigned to AHL
"Jan 23, 2025",Minnesota Wild,Jared Spurgeon,Activated from IR
"Jan 23, 2025",Minnesota Wild,Kirill Kaprizov,Activated from IR
"Jan 23, 2025",Toronto Maple Leafs,Matt Murray,Recalled from AHL
"Jan 23, 2025",Toronto Maple Leafs,Dennis Hildeby,Assigned to AHL
"Jan 23, 2025",Vancouver Canucks,Linus Karlsson,Recalled from AHL
"Jan 23, 2025",Vancouver Canucks,Elias Pettersson,Recalled from AHL
"Jan 23, 2025",Calgary Flames,Clark Bishop,Recalled from AHL
"Jan 23, 2025",Carolina Hurricanes,Jackson Blake,Recalled from AHL
"Jan 23, 2025",Carolina Hurricanes,Juha Jaaska,Recalled from AHL
"Jan 23, 2025",Colorado Avalanche,Ivan Ivan,Assigned to AHL
"Jan 23, 2025",Colorado Avalanche,Chris Wagner,Recalled from AHL
"Jan 23, 2025",Detroit Red Wings,Marco Kasper,Recalled from AHL
"Jan 23, 2025",Detroit Red Wings,William Lagesson,Recalled from AHL
"Jan 23, 2025",Detroit Red Wings,Elmer Soderblom,Recalled from AHL
"Jan 23, 2025",Dallas Stars,Lian Bichsel,Recalled from AHL
"Jan 23, 2025",Dallas Stars,Matěj  Blümel,Recalled from AHL
"Jan 22, 2025",Winnipeg Jets,Haydn Fleury,Activated from IR
"Jan 22, 2025",Winnipeg Jets,Mason Appleton,Activated from IR
"Jan 22, 2025",Vegas Golden Knights,William Karlsson,Placed on IR
"Jan 22, 2025",Detroit Red Wings,Patrick Kane,Placed on IR
"Jan 22, 2025",Detroit Red Wings,Elmer Soderblom,Assigned to AHL
"Jan 22, 2025",Philadelphia Flyers,Aleksei Kolosov,Assigned to AHL
"Jan 22, 2025",Philadelphia Flyers,Olle Lycksell,Assigned to AHL
"Jan 22, 2025",Philadelphia Flyers,Anthony Richard,Recalled from AHL
"Jan 22, 2025",Chicago Blackhawks,Ethan Del Mastro,Recalled from AHL
"Jan 22, 2025",Minnesota Wild,David Jiricek,Assigned to AHL
"Jan 22, 2025",Carolina Hurricanes,Jackson Blake,Assigned to AHL
"Jan 22, 2025",Carolina Hurricanes,Juha Jaaska,Assigned to AHL
"Jan 22, 2025",Carolina Hurricanes,Riley Stillman,Recalled from AHL
"Jan 22, 2025",Anaheim Ducks,Justin Bailey,Acquired from San Jose Sharks
"Jan 22, 2025",Anaheim Ducks,Pavol Regenda,Traded to San Jose Sharks
"Jan 22, 2025",San Jose Sharks,Justin Bailey,Traded to Anaheim Ducks
"Jan 22, 2025",San Jose Sharks,Pavol Regenda,Acquired from Anaheim Ducks
"Jan 22, 2025",San Jose Sharks,Walker Duehr,Claimed on Waivers from Calgary Flames
"Jan 22, 2025",Calgary Flames,Walker Duehr,Lost on Waivers to San Jose Sharks
"Jan 22, 2025",Tampa Bay Lightning,Maxwell Crozier,Assigned to AHL
"Jan 22, 2025",Dallas Stars,Matěj  Blümel,Assigned to AHL
"Jan 22, 2025",Colorado Avalanche,Ivan Ivan,Recalled from AHL
"Jan 22, 2025",Colorado Avalanche,Jere Innala,Recalled from AHL
"Jan 22, 2025",Toronto Maple Leafs,Jacob Quillan,Recalled from AHL
"Jan 22, 2025",Toronto Maple Leafs,Max Pacioretty,Placed on IR
"Jan 21, 2025",Winnipeg Jets,Adam Lowry,Placed on IR
"Jan 21, 2025",Nashville Predators,Cole Smith,Activated from IR
"Jan 21, 2025",Anaheim Ducks,Trevor Zegras,Activated from IR
"Jan 21, 2025",Calgary Flames,Rory Kerins,Recalled from AHL
"Jan 21, 2025",Detroit Red Wings,Marco Kasper,Assigned to AHL
"Jan 21, 2025",Detroit Red Wings,William Lagesson,Assigned to AHL
"Jan 21, 2025",Calgary Flames,Walker Duehr,Placed on Waivers
"Jan 21, 2025",Boston Bruins,Max Jones,Recalled from AHL
"Jan 21, 2025",Boston Bruins,Patrick Brown,Recalled from AHL
"Jan 21, 2025",Buffalo Sabres,Tyson Kozak,Recalled from AHL
"Jan 21, 2025",Buffalo Sabres,Devon Levi,Assigned to AHL
"Jan 21, 2025",Colorado Avalanche,Ivan Ivan,Assigned to AHL
"Jan 21, 2025",Minnesota Wild,Brendan Gaunce,Assigned to AHL
"Jan 21, 2025",Dallas Stars,Matěj  Blümel,Recalled from AHL
"Jan 21, 2025",Detroit Red Wings,Elmer Soderblom,Recalled from AHL
"Jan 21, 2025",Colorado Avalanche,Jere Innala,Assigned to AHL
"Jan 20, 2025",Anaheim Ducks,Sam Colangelo,Assigned to AHL
"Jan 20, 2025",San Jose Sharks,Ty Dellandrea,Placed on IR
"Jan 20, 2025",Buffalo Sabres,Jiri Kulich,Activated from IR
"Jan 20, 2025",Boston Bruins,Mark Kastelic,Placed on IR
"Jan 20, 2025",Buffalo Sabres,Tyson Kozak,Assigned to AHL
"Jan 20, 2025",Vancouver Canucks,Tyler Myers,Suspension Started
"Jan 20, 2025",Edmonton Oilers,Connor McDavid,Suspension Started
"Jan 20, 2025",Los Angeles Kings,Samuel Helenius,Recalled from AHL
"Jan 20, 2025",Edmonton Oilers,Derek Ryan,Assigned to AHL
"Jan 20, 2025",Edmonton Oilers,Derek Ryan,Cleared Waivers
"Jan 20, 2025",Vancouver Canucks,Mark Friedman,Recalled from AHL
"Jan 20, 2025",San Jose Sharks,Nikolai Kovalenko,Activated from IR
"Jan 20, 2025",Columbus Blue Jackets,Justin Danforth,Activated from IR
"Jan 20, 2025",Dallas Stars,Justin Hryckowian,Assigned to AHL
"Jan 20, 2025",Dallas Stars,Matěj  Blümel,Assigned to AHL
"Jan 20, 2025",Philadelphia Flyers,Rodrigo Abols,Recalled from AHL
"Jan 20, 2025",Philadelphia Flyers,Ryan Poehling,Placed on IR
"Jan 20, 2025",New Jersey Devils,Colton White,Assigned to AHL
"Jan 20, 2025",New Jersey Devils,Brian Halonen,Assigned to AHL
"Jan 20, 2025",Tampa Bay Lightning,Maxwell Crozier,Recalled from AHL
"Jan 20, 2025",Colorado Avalanche,Jere Innala,Recalled from AHL
"Jan 20, 2025",Carolina Hurricanes,Ty Smith,Assigned to AHL
"Jan 19, 2025",New York Islanders,Noah Dobson,Placed on IR
"Jan 19, 2025",Los Angeles Kings,Samuel Helenius,Assigned to AHL
"Jan 19, 2025",Tampa Bay Lightning,Maxwell Crozier,Assigned to AHL
"Jan 19, 2025",Vancouver Canucks,Jonathan Lekkerimäki,Assigned to AHL
"Jan 19, 2025",Vancouver Canucks,Guillaume Brisebois,Assigned to AHL
"Jan 19, 2025",Edmonton Oilers,Joshua Brown,Assigned to AHL
"Jan 19, 2025",Edmonton Oilers,Derek Ryan,Placed on Waivers
"Jan 19, 2025",Minnesota Wild,Dylan Ferguson,Assigned to AHL
"Jan 19, 2025",Seattle Kraken,Gustav Olofsson,Assigned to AHL
"Jan 19, 2025",Carolina Hurricanes,Jackson Blake,Recalled from AHL
"Jan 19, 2025",Carolina Hurricanes,Juha Jaaska,Recalled from AHL
"Jan 19, 2025",Carolina Hurricanes,Ty Smith,Recalled from AHL
