seasonID,playerID,seasonType,statCategory,statValue
19361937,8449861,3,goalsAgainstAverage,2.217064
19371938,8450127,2,wins,30.0
19371938,8450009,2,wins,27.0
19371938,8449837,2,wins,24.0
19371938,8450105,2,wins,19.0
19371938,8449861,2,wins,18.0
19371938,8450009,2,shutouts,8.0
19371938,8450127,2,shutouts,7.0
19371938,8449837,2,shutouts,6.0
19371938,8450105,2,shutouts,6.0
19371938,8449861,2,shutouts,3.0
19371938,8450127,2,goalsAgainstAverage,1.79798
19371938,8450009,2,goalsAgainstAverage,1.945946
19371938,8450105,2,goalsAgainstAverage,2.22
19371938,8449861,2,goalsAgainstAverage,2.528428
19371938,8449837,2,goalsAgainstAverage,2.557047
19371938,8450007,3,wins,6.0
19371938,8449837,3,wins,4.0
19371938,8450105,3,wins,3.0
19371938,8449861,3,wins,1.0
19371938,8450009,3,wins,1.0
19371938,8450007,3,shutouts,2.0
19371938,8449837,3,shutouts,1.0
19371938,8450045,3,goalsAgainstAverage,1.0
19371938,8450105,3,goalsAgainstAverage,1.51547
19371938,8450127,3,goalsAgainstAverage,1.701457
19371938,8450007,3,goalsAgainstAverage,1.71483
19371938,8449837,3,goalsAgainstAverage,1.727256
19381939,8449836,2,wins,33.0
19381939,8450009,2,wins,26.0
19381939,8449837,2,wins,19.0
19381939,8450127,2,wins,19.0
19381939,8450105,2,wins,17.0
19381939,8449836,2,shutouts,10.0
19381939,8449837,2,shutouts,8.0
19381939,8450009,2,shutouts,6.0
19381939,8450007,2,shutouts,5.0
19381939,8450127,2,shutouts,4.0
19381939,8449836,2,goalsAgainstAverage,1.557252
19381939,8450009,2,goalsAgainstAverage,2.10101
19381939,8449837,2,goalsAgainstAverage,2.147157
19381939,8450127,2,goalsAgainstAverage,2.393794
19381939,8450007,2,goalsAgainstAverage,2.608696
19381939,8449836,3,wins,8.0
19381939,8449837,3,wins,5.0
19381939,8449960,3,wins,3.0
19381939,8450127,3,wins,3.0
19381939,8449833,3,wins,1.0
19381939,8449837,3,shutouts,2.0
19381939,8449833,3,shutouts,1.0
19381939,8450127,3,shutouts,1.0
19381939,8449836,3,shutouts,1.0
19381939,8450009,3,goalsAgainstAverage,1.004885
19381939,8449836,3,goalsAgainstAverage,1.250338
19381939,8449960,3,goalsAgainstAverage,1.66007
19381939,8449837,3,goalsAgainstAverage,1.946998
19381939,8450127,3,goalsAgainstAverage,2.409746
19391940,8449836,2,wins,31.0
19391940,8450009,2,wins,27.0
19391940,8449837,2,wins,25.0
19391940,8450127,2,wins,16.0
19391940,8449982,2,wins,16.0
19391940,8450009,2,shutouts,8.0
19391940,8449836,2,shutouts,6.0
19391940,8450105,2,shutouts,6.0
19391940,8449982,2,shutouts,4.0
19391940,8449837,2,shutouts,4.0
19391940,8450009,2,goalsAgainstAverage,1.54
19391940,8449982,2,goalsAgainstAverage,1.9375
19391940,8449836,2,goalsAgainstAverage,1.973104
19391940,8449837,2,goalsAgainstAverage,2.234483
19391940,8450127,2,goalsAgainstAverage,2.54417
19391940,8450009,3,wins,8.0
19391940,8449837,3,wins,6.0
19391940,8449836,3,wins,2.0
19391940,8450127,3,wins,2.0
19391940,8450105,3,wins,1.0
19391940,8450009,3,shutouts,3.0
19391940,8449837,3,shutouts,1.0
19391940,8450009,3,goalsAgainstAverage,1.559792
19391940,8449837,3,goalsAgainstAverage,1.737982
19391940,8449982,3,goalsAgainstAverage,2.369668
19391940,8450127,3,goalsAgainstAverage,2.396671
19391940,8449836,3,goalsAgainstAverage,2.5
19401941,8449837,2,wins,28.0
19401941,8449836,2,wins,27.0
19401941,8450009,2,wins,21.0
19401941,8450047,2,wins,21.0
19401941,8449960,2,wins,13.0
19401941,8449836,2,shutouts,6.0
19401941,8449837,2,shutouts,5.0
19401941,8450047,2,shutouts,4.0
19401941,8449982,2,shutouts,2.0
19401941,8450009,2,shutouts,2.0
19401941,8449837,2,goalsAgainstAverage,2.0
19401941,8449836,2,goalsAgainstAverage,2.013158
19401941,8450047,2,goalsAgainstAverage,2.013158
19401941,8450009,2,goalsAgainstAverage,2.491694
19401941,8449982,2,goalsAgainstAverage,2.5
19401941,8449836,3,wins,8.0
19401941,8450047,3,wins,4.0
19401941,8449837,3,wins,3.0
19401941,8450018,3,wins,2.0
19401941,8449960,3,wins,1.0
19401941,8449836,3,shutouts,1.0
19401941,8450009,3,goalsAgainstAverage,1.874837
19401941,8449836,3,goalsAgainstAverage,2.03655
19401941,8449837,3,goalsAgainstAverage,2.056594
19401941,8450018,3,goalsAgainstAverage,2.09353
19401941,8450047,3,goalsAgainstAverage,2.135675
19411942,8449993,2,wins,29.0
19411942,8449837,2,wins,27.0
19411942,8449836,2,wins,24.0
19411942,8450018,2,wins,21.0
19411942,8450047,2,wins,19.0
19411942,8449837,2,shutouts,6.0
19411942,8450047,2,shutouts,5.0
19411942,8449836,2,shutouts,3.0
19411942,8450018,2,shutouts,3.0
19411942,8450096,2,shutouts,1.0
19411942,8449836,2,goalsAgainstAverage,2.346939
19411942,8449837,2,goalsAgainstAverage,2.756757
19411942,8449993,2,goalsAgainstAverage,2.898649
19411942,8450047,2,goalsAgainstAverage,3.0
19411942,8450018,2,goalsAgainstAverage,3.1777
19411942,8449837,3,wins,8.0
19411942,8450047,3,wins,7.0
19411942,8449993,3,wins,2.0
19411942,8449836,3,wins,2.0
19411942,8449823,3,wins,1.0
19411942,8449823,3,shutouts,1.0
19411942,8450018,3,shutouts,1.0
19411942,8449993,3,shutouts,1.0
19411942,8449837,3,shutouts,1.0
19411942,8450018,3,goalsAgainstAverage,1.605566
19411942,8449993,3,goalsAgainstAverage,2.166667
19411942,8449837,3,goalsAgainstAverage,2.384615
19411942,8449823,3,goalsAgainstAverage,2.666667
19411942,8449836,3,goalsAgainstAverage,3.128564
19421943,8450047,2,wins,25.0
19421943,8449836,2,wins,24.0
19421943,8449837,2,wins,22.0
19421943,8449823,2,wins,19.0
19421943,8449960,2,wins,17.0
19421943,8450047,2,shutouts,6.0
19421943,8449821,2,shutouts,1.0
19421943,8449823,2,shutouts,1.0
19421943,8449836,2,shutouts,1.0
19421943,8449837,2,shutouts,1.0
19421943,8450047,2,goalsAgainstAverage,2.471761
19421943,8449837,2,goalsAgainstAverage,3.18
19421943,8449836,2,goalsAgainstAverage,3.52
19421943,8449960,2,goalsAgainstAverage,3.576159
19421943,8449823,2,goalsAgainstAverage,3.807309
19421943,8450047,3,wins,8.0
19421943,8449836,3,wins,4.0
19421943,8449837,3,wins,2.0
19421943,8449823,3,wins,1.0
19421943,8450047,3,shutouts,2.0
19421943,8449823,3,shutouts,1.0
19421943,8450047,3,goalsAgainstAverage,1.942176
19421943,8449837,3,goalsAgainstAverage,2.729444
19421943,8449823,3,goalsAgainstAverage,3.380105
19421943,8449836,3,goalsAgainstAverage,3.538769
19431944,8449910,2,wins,38.0
19431944,8449960,2,wins,17.0
19431944,8449896,2,wins,17.0
